Author,Work
"Diogenes of Apollonia",Fragmenta
"Diogenianus of Heraclea","Paroemiae (epitome operis sub nomine Diogeniani) (e cod. Mazarinco)"
"Dionysius Corinthius",Fragmenta
"Dionysius Periegetes","Orbis Descriptio"
"Dionysius of Byzantium","De Bospori Navigatione"
"Dionysius of Halicarnassus","Ad Ammaeum"
"Dionysius of Halicarnassus","Antiquitates Romanae"
"Dionysius of Halicarnassus","Ars Rhetorica"
"Dionysius of Halicarnassus","De Compositione Verborum"
"Dionysius of Halicarnassus","De Demosthene"
"Dionysius of Halicarnassus","De Demosthenis dictione"
"Dionysius of Halicarnassus","De Dinarcho"
"Dionysius of Halicarnassus","De Isaeo"
"Dionysius of Halicarnassus","De Isocrate"
"Dionysius of Halicarnassus","De Lysia"
"Dionysius of Halicarnassus","De Thucydide"
"Dionysius of Halicarnassus","De Thucydidis idiomatibus"
"Dionysius of Halicarnassus","De antiquis oratoribus"
"Dionysius of Halicarnassus","De compositione verborum (epitome)"
"Dionysius of Halicarnassus","De imitatione (fragmenta)"
"Dionysius of Halicarnassus","Epistula ad Pompeium Geminum"
"Dionysius of Halicarnassus","Libri secundi de antiquis oratoribus reliquiae"
"Dionysius, Calliphontis","Descriptio Graeciae"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. 453)"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. gr. 2448)"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. suppl. gr. 387, fol. 181r)"
"Dioscurides Pedianus","De materia medica"
"Dioscurides Pedianus","Euporista vel De simplicibus medicinis"
"Dorotheus of Sidon","Fragmenta alia antiqua"
"Ecclesiastes (OSHB)",Ecclesiastes
"Elias Neoplatonicus","Eliae (Olim Davidis) In Aristotelis Categorias Commentarium"
"Elias Neoplatonicus","In Porphyrii Isagogen"
"Epic of Gilgamesh (Langdon 1917)","Epic of Gilgamesh"
Epicharmus,Fragmenta
Epictetus,Fragments
Epictetus,"Gnomologium Epicteteum (e Stobaei libris 1-2)"
Epictetus,"Gnomologium Epicteteum (e Stobaei libris 3‑4)"
Epictetus,"Gnomology (Books 1-2)"
Epictetus,"Gnomology (Books 3-4)"
Epictetus,"The Discourses of Epictetus"
Epictetus,"The Enchiridion"
Epicurus,"Epistula ad Herodotum"
Epicurus,"Epistula ad Menoeceum"
Epicurus,"Epistula ad Pythoclem"
Epicurus,"Gnomologium Vaticanum Epicureum"
Epicurus,"Ratae Sententiae"
Epimenides,Fragmenta
Epiphanius,"Anacephalaeosis [Sp.]"
Epiphanius,Ancoratus
Epiphanius,"Panarion (Adversus Haereses)"
"Epitaphium Sicili","Sicili Epitaphium"
"Esther (OSHB)",Esther
Euclid,"Catoptrica (recensio Theonis?)"
Euclid,Data
Euclid,"Data (demonstrationes alterae)"
Euclid,Epigramma
Euclid,Fragmenta
Euclid,Optica
Euclid,"Opticorum recensio Theonis"
Euclid,Phaenomena
Euclid,"Phaenomena (demonstrationes alterae recensionis b) "
Euclid,"Phaenomena (recensio b)"
Euclid,"Sectio canonis [Sp.]"
Euclid,"The Thirteen Books of Euclid's Elements"
Eunapius,"Vitae Sophistarum"
Euripides,Alcestis
Euripides,Andromache
Euripides,Electra
Euripides,Fragmenta
Euripides,Hecuba
Euripides,Helen
Euripides,Heracleidae
Euripides,"Heracles Mad"
Euripides,Hippolytus
Euripides,Ion
Euripides,"Iphigenia Among the Tauri"
Euripides,"Iphigenia at Aulis"
Euripides,Medea
Euripides,Orestes
Euripides,Rhesus
Euripides,"The Bacchae"
Euripides,"The Cyclops"
Euripides,"The Phoenician Maidens"
Euripides,"The Suppliants"
Euripides,"The Trojan Women"
"Euripides Epistulae",Epistles
"Eusebius Myndius",Fragmenta
"Eusebius of Caesarea","Constantini imperatoris oratio ad coetum sanctorum"
"Eusebius of Caesarea","Contra Marcellum"
"Eusebius of Caesarea","De Ecclesiastica Theologia"
"Eusebius of Caesarea","De Laudibus Constantini"
"Eusebius of Caesarea","De Martyribus Palaestinae (Recensio Brevior)"
"Eusebius of Caesarea","De Theophania (Fragmenta)"
"Eusebius of Caesarea","Demonstratio Evangelica"
"Eusebius of Caesarea","Ecclesiastical History"
"Eusebius of Caesarea","Epistula ad Flacillum"
"Eusebius of Caesarea","Generalis elementaria introductio (= Eclogae propheticae)"
"Eusebius of Caesarea","Historia Ecclesiastica"
"Eusebius of Caesarea",Onomasticon
"Eusebius of Caesarea","Praeparatio Evangelica"
"Eusebius of Caesarea","Vita Constantini"
Eustratius,"In Aristotelis Ethica Nicomachea I Commentaria"
Eutocius,"Commentarii in libros de sphaera et cylindro"
Eutocius,"Commentarius in dimensionem circuli"
Eutocius,"Commentarius in libros de planorum aequilibriis"
Eutropius,"Breviarium historiae romanae"
"Evagrius, Scholasticus","Historia Ecclesiastica"
"Exodus (OSHB)",Exodus
"Ezekiel (OSHB)",Ezekiel
"Ezra (OSHB)",Ezra
"Flavius Josephus","Against Apion"
"Flavius Josephus","Antiquities of the Jews"
"Flavius Josephus","The Life of Flavius Josephus"
"Flavius Josephus","The Wars of the Jews"
"Florus, Lucius Annaeus","Epitome Rerum Romanorum"
"Gaius Romanus",Fragmenta
Galen,"Ad Glauconem de methodo medendi"
Galen,"Adhortatio ad artes addiscendas"
Galen,"Adversus Lycum"
Galen,"Adversus ea quae Juliano in Hippocratis Aphorismos enuntiata sunt"
Galen,"Adversus eos qui de typis scripserunt vel de circuitibus"
Galen,"An in arteriis sanguis contineatur"
Galen,"Ars Medica"
Galen,"De Humero iis Modis Prolapso quos Hippocrates non Vidit"
Galen,"De alimentorum facultatibus"
Galen,"De anatomicis administrationibus"
Galen,"De animi cuiuslibet peccatorum dignotione et curatione"
Galen,"De antidotis"
Galen,"De atra bile"
Galen,"De bono habitu"
Galen,"De causis morborum"
Galen,"De causis pulsuum"
Galen,"De causis respirationis"
Galen,"De comate secundum Hippocratem"
Galen,"De compositione medicamentorum per genera"
Galen,"De compositione medicamentorum secundum locos libri X"
Galen,"De constitutione artis medicae ad Patrophilum"
Galen,"De consuetudinibus"
Galen,"De crisibus"
Galen,"De curandi ratione per venae sectionem"
Galen,"De diebus decretoriis"
Galen,"De differentiis febrium"
Galen,"De differentiis pulsuum"
Galen,"De difficultate respirationis"
Galen,"De dignoscendis pulsibus"
Galen,"De dignotione ex insomniis"
Galen,"De elementis ex Hippocrate"
Galen,"De experientia medica"
Galen,"De foetuum formatione"
Galen,"De hirudinibus, revulsione, cucurbitula, incisione et scarificatione"
Galen,"De inaequali intemperie"
Galen,"De instrumento odoratus"
Galen,"De locis affectis"
Galen,"De marcore"
Galen,"De methodo medendi"
Galen,"De morborum differentiis"
Galen,"De morborum temporibus"
Galen,"De motu musculorum"
Galen,"De musculorum dissectione ad tirones"
Galen,"De naturalibus facultatibus"
Galen,"De nervorum dissectione"
Galen,"De optima corporis nostri constitutione"
Galen,"De optima doctrina"
Galen,"De ossibus ad tirones"
Galen,"De parvae pilae exercitio"
Galen,"De placitis Hippocratis et Platonis"
Galen,"De plenitudine"
Galen,"De praenotione ad Epigenem"
Galen,"De praesagitione ex pulsibus"
Galen,"De propriorum animi cuiuslibet affectuum dignotione et curatione"
Galen,"De ptisana"
Galen,"De pulsibus ad tirones"
Galen,"De purgantium medicamentorum facultate"
Galen,"De rebus boni malique suci"
Galen,"De sanitate tuenda"
Galen,"De sectis ad eos qui introducuntur"
Galen,"De semine"
Galen,"De simplicium medicamentorum temperamentis ac facultatibus I-VI"
Galen,"De sophismatis seu captionibus penes dictionem"
Galen,"De substantia facultatum naturalium fragmentum"
Galen,"De symptomatum causis"
Galen,"De symptomatum differentiis"
Galen,"De temperamentis"
Galen,"De theriaca ad Pisonem"
Galen,"De totius morbi temporibus"
Galen,"De tremore, palpitatione, convulsione et rigore"
Galen,"De tumoribus praeter naturam"
Galen,"De typis"
Galen,"De usu partium corporis humani I-XI"
Galen,"De usu pulsuum"
Galen,"De uteri dissectione"
Galen,"De utilitate respirationis"
Galen,"De venae sectione adversus Erasistrateos Romae degentes"
Galen,"De venae sectione adversus Erasistratum"
Galen,"De venarum arteriarumque dissectione"
Galen,"De venereis"
Galen,"De victu attenuante"
Galen,"In Hippocratis Aphorismos Commentarii VII"
Galen,"In Hippocratis De articulis"
Galen,"In Hippocratis De fracturis"
Galen,"In Hippocratis De natura hominis"
Galen,"In Hippocratis De officina medici"
Galen,"In Hippocratis De victu acutorum"
Galen,"In Hippocratis Epidemiarum I"
Galen,"In Hippocratis Prognosticum"
Galen,"In Hippocratis vel Polybi Opus de Salubri Victus Ratione Privatorum Commentarius"
Galen,"Institutio logica"
Galen,"On the Natural Faculties"
Galen,"Pro puero epileptico consilium"
Galen,"Quod animi mores corporis temperamenta sequantur"
Galen,"Quod optimus medicus sit quoque philosophus"
Galen,"Quos quibus catharticis medicamentis et quando purgare oporteat"
Galen,"Synopsis librorum suorum de pulsibus"
Galen,"Thrasybulus sive utrum medicinae sit an gymnasticae hygieine"
Gaudentius,"Harmonica introductio"
Gelasius,"Historia Ecclesiastica"
"Gellius, Aulus","Attic Nights"
Geminus,"Elementa astronomia"
"Genesis (OSHB)",Genesis
"Greek Anthology","Greek Anthology"
"Gregory II, of Cyprus, Patriarch of Constantinople"," Declamatio de Atheniensium defensio (ad Libanii declamationem antilogia)"
"Gregory II, of Cyprus, Patriarch of Constantinople",Paroemiae
"Gregory of Nazianzus","Adversus Eunomianos (Orat. 27)"
"Gregory of Nazianzus","Carmina moralia"
"Gregory of Nazianzus","Christus Patiens [Dub.] (Fort. Auctore Constantino Manasse)"
"Gregory of Nazianzus","De Filio (Orat. 29)"
"Gregory of Nazianzus","De Filio (Orat. 30)"
"Gregory of Nazianzus","De Spiritu Sancto (Orat. 31)"
"Gregory of Nazianzus","De Theologia (Orat. 28)"
"Habakkuk (OSHB)",Habakkuk
"Haggai (OSHB)",Haggai
Hanno,"Periplus Hannonis"
Harpocration,"Lexicon in decem oratores Atticos"
"Hecataeus of Abderita",Fragmenta
Hegemonius,"Acta Archelai"
"Heliodorus of Emesa",Aethiopica
Hephaestion,"De Signis"
Hephaestion,"Enchridion de Metris"
Hephaestion,Fragments
Hephaestion,"Introduction to Meter"
Hephaestion,"On Poems"
"Heraclides, Criticus","Descriptio Graeciae"
Heraclitus,"Allegoriae (= Quaestiones Homericae)"
"Heraclitus of Ephesus",Fragmenta
Hermas,"The Shepherd of Hermas"
Hermetica,"Dialogus (sine titulo)"
Hermetica,Fragmenta
Hermetica,"Hieros logos"
Hermetica,Poimandres
Hermetica,tlg004
Hermetica,tlg005
Hermetica,tlg006
Hermetica,tlg007
Hermetica,tlg008
Hermetica,tlg009
Hermetica,tlg010
Hermetica,tlg011
Hermetica,tlg012
Hermetica,tlg013
Hermetica,tlg014
Hermetica,tlg016
Hermetica,tlg018
Hermogenes,"Progymnasmata [Dub.]"
Hermogenes,tlg002
Hermogenes,tlg003
Hermogenes,tlg004
Hermogenes,tlg005
"Hero of Alexandria",Belopoeica
"Hero of Alexandria",Catoptrica
"Hero of Alexandria","De automatis"
"Hero of Alexandria","De mensuris"
"Hero of Alexandria",Dioptra
"Hero of Alexandria","Fragmenta Heroniana"
"Hero of Alexandria","Geodaesia [Sp.]"
"Hero of Alexandria","Liber geeponicus [Sp.]"
"Hero of Alexandria","Mechanicorum fragmenta"
"Hero of Alexandria",Metrica
"Hero of Alexandria",Pneumatica
"Hero of Alexandria",Stereometrica
Herodian,"Ab excessu divi Marci"
Herodotus,Histories
Hesiod,"Shield of Heracles"
Hesiod,Theogony
Hesiod,"Works and Days"
Hipparchus,"In Arati et Eudoxi phaenomena commentariorum libri iii"
"Hippias of Elis",Fragmenta
Hippocrates,"Airs Waters Places"
Hippocrates,"Ancient Medicine"
Hippocrates,Aphorismi
Hippocrates,Aphorisms
Hippocrates,"Coa praesagia"
Hippocrates,"De aere, aquis, locis"
Hippocrates,"De affectionibus"
Hippocrates,"De affectionibus interioribus"
Hippocrates,"De alimento"
Hippocrates,"De anatomia"
Hippocrates,"De arte"
Hippocrates,"De articulis"
Hippocrates,"De capitis vulneribus"
Hippocrates,"De carnibus"
Hippocrates,"De corde"
Hippocrates,"De crisibus"
Hippocrates,"De dentitione"
Hippocrates,"De diaeta"
Hippocrates,"De diaeta acutorum"
Hippocrates,"De diaeta acutorum (spurium)"
Hippocrates,"De diaeta in morbis acutis"
Hippocrates,"De diebus criticis"
Hippocrates,"De exsectione foetus"
Hippocrates,"De fistulis"
Hippocrates,"De flatibus"
Hippocrates,"De fracturis"
Hippocrates,"De genitura"
Hippocrates,"De glandulis"
Hippocrates,"De habitu decenti"
Hippocrates,"De haemorrhoidibus"
Hippocrates,"De humoribus"
Hippocrates,"De liquidorum usu"
Hippocrates,"De locis in homine"
Hippocrates,"De medico"
Hippocrates,"De morbis i-iii"
Hippocrates,"De morbo sacro"
Hippocrates,"De muliebribus"
Hippocrates,"De natura hominis"
Hippocrates,"De natura muliebri"
Hippocrates,"De natura ossium"
Hippocrates,"De natura pueri"
Hippocrates,"De octimestri partu"
Hippocrates,"De officina medici"
Hippocrates,"De prisca medicina"
Hippocrates,"De salubri diaeta"
Hippocrates,"De superfoetatione"
Hippocrates,"De ulceribus"
Hippocrates,"De virginum morbis"
Hippocrates,"De visu"
Hippocrates,Epidemiarum
Hippocrates,"Epistulae, Decretum, Orationes"
Hippocrates,Iusiurandum
Hippocrates,Lex
Hippocrates,Mochlicus
Hippocrates,Nutriment
Hippocrates,Oath
Hippocrates,"Of the Prognostics"
Hippocrates,"On Fractures"
Hippocrates,"On Hemorrhoids"
Hippocrates,"On Injuries of the Head"
Hippocrates,"On Regimen in Acute Diseases"
Hippocrates,"On Ulcers"
Hippocrates,"On the Articulations"
Hippocrates,"On the Sacred Disease"
Hippocrates,"On the Surgery"
Hippocrates,Praeceptiones
Hippocrates,Precepts
Hippocrates,Prognosticon
Hippocrates,"Prorrheticon I"
Hippocrates,"The Epidemics"
Hippocrates,Vectiarius
Hippolytus,"Refutatio Omnium Haeresium (= Philosophumena)"
Hipponax,"Fragmentum (128)"
Homer,Epigrams
Homer,Iliad
Homer,Odyssey
"Homeric Hymns","Hymn 1 to Dionysus"
"Homeric Hymns","Hymn 10 to Aphrodite"
"Homeric Hymns","Hymn 11 to Athena"
"Homeric Hymns","Hymn 12 to Hera"
"Homeric Hymns","Hymn 13 to Demeter"
"Homeric Hymns","Hymn 14 to the Mother of the Gods"
"Homeric Hymns","Hymn 15 to Heracles"
"Homeric Hymns","Hymn 16 to Asclepius"
"Homeric Hymns","Hymn 17 To the Dioscuri"
"Homeric Hymns","Hymn 18 to Hermes"
"Homeric Hymns","Hymn 19 to Pan"
"Homeric Hymns","Hymn 2 to Demeter"
"Homeric Hymns","Hymn 20 to Hephaestus"
"Homeric Hymns","Hymn 21 to Apollo"
"Homeric Hymns","Hymn 22 to Poseidon"
"Homeric Hymns","Hymn 23 to Zeus"
"Homeric Hymns","Hymn 24 to Hestia"
"Homeric Hymns","Hymn 25 to the Muses and Apollo"
"Homeric Hymns","Hymn 26 to Dionysus"
"Homeric Hymns","Hymn 27 to Artemis"
"Homeric Hymns","Hymn 28 to Athena"
"Homeric Hymns","Hymn 29 to Hestia"
"Homeric Hymns","Hymn 3 to Apollo"
"Homeric Hymns","Hymn 30 to Earth"
"Homeric Hymns","Hymn 31 to Helios"
"Homeric Hymns","Hymn 32 to Selene"
"Homeric Hymns","Hymn 33 to the Dioscuri"
"Homeric Hymns","Hymn 4 to Hermes"
"Homeric Hymns","Hymn 5 to Aphrodite"
"Homeric Hymns","Hymn 6 to Aphrodite"
"Homeric Hymns","Hymn 7 to Dionysus"
"Homeric Hymns","Hymn 8 to Ares"
"Homeric Hymns","Hymn 9 to Artemis"
Horace,"Carmen Saeculare"
Horace,Epistles
Horace,Epodes
Horace,Odes
Horace,Satires
Horace,"The Art of Poetry: To the Pisos"
"Hosea (OSHB)",Hosea
Hyperides,"Against Athenogenes"
Hyperides,"Against Demosthenes"
Hyperides,"Against Philippides"
Hyperides,"Funeral Oration"
Hyperides,"In Defence of Euxenippus"
Hyperides,"In Defence of Lycophron"
Iamblichus,"De Mysteriis"
Iamblichus,"De Vita Pythagorica"
Iamblichus,"De communi mathematica scientia"
Iamblichus,"In Nicomachi Arithmeticam Introductionem"
Iamblichus,Protrepticus
"Iamblichus (Scr. Erot.)",Babyloniaca
"Iamblichus Alchemista","Fragmentum alchemica"
"Ignatius of Antioch","Epistulae interpolatae et epistulae suppositiciae (recensio longior) [Sp.]"
"Ignatius of Antioch","Epistulae vii genuinae"
"Irenaeus, Saint, Bishop of Lyon","Fragmenta Synodicae Epistulae."
"Irenaeus, Saint, Bishop of Lyon","Libros quinque adversus haereses"
Isaeus,"On Behalf of Euphiletus"
Isaeus,"On The Estate Of Pyrrhus"
Isaeus,"On The Estate of Apollodorus"
Isaeus,"On The Estate of Aristarchus"
Isaeus,"On The Estate of Ciron"
Isaeus,"On The Estate of Cleonymus"
Isaeus,"On the Estate of Astyphilus"
Isaeus,"On the Estate of Dicaeogenes"
Isaeus,"On the Estate of Hagnias"
Isaeus,"On the Estate of Menecles"
Isaeus,"On the Estate of Nicostratus"
Isaeus,"On the Estate of Philoctemon"
"Isaiah (OSHB)",Isaiah
"Isidore, of Charax","Mansiones Parthicae"
Isocrates,Aegineticus
Isocrates,"Against Callimachus"
Isocrates,"Against Euthynus"
Isocrates,"Against Lochites"
Isocrates,"Against the Sophists"
Isocrates,Antidosis
Isocrates,Areopagiticus
Isocrates,Busiris
Isocrates,"Concerning the Team of Horses"
Isocrates,Evagoras
Isocrates,Helen
Isocrates,"Nicocles or the Cyprians"
Isocrates,"On the Peace"
Isocrates,Panathenaicus
Isocrates,Panegyricus
Isocrates,Plataicus
Isocrates,"To Alexander"
Isocrates,"To Antipater"
Isocrates,"To Archidamus"
Isocrates,"To Demonicus"
Isocrates,"To Dionysius"
Isocrates,"To Nicocles"
Isocrates,"To Philip"
Isocrates,"To Philip, I"
Isocrates,"To Philip, II"
Isocrates,"To Timotheus"
Isocrates,"To the Children of Jason"
Isocrates,"To the Rulers of the Mytilenaeans"
Isocrates,Trapeziticus
"Jeremiah (OSHB)",Jeremiah
"Job (OSHB)",Job
"Joel (OSHB)",Joel
"John Philoponus","In Aristotelis Analytica Posteriora Commentaria"
"John Philoponus","In Aristotelis Analytica Priora Commentaria"
"John Philoponus","In Aristotelis Categorias Commentarium"
"John Philoponus","In Aristotelis Libros De Anima Commentaria"
"John Philoponus","In Aristotelis Libros De Generatione Et Corruptione Commentaria"
"John Philoponus","In Aristotelis Meteorologicorum Librum Primum Commentarium"
"John Philoponus","In Aristotelis Physicorum Libros Commentaria"
"John Philoponus","In Libros De Generatione Animalium Commentaria"
"John of Damascus, Saint","Vita Barlaam et Joasaph"
"Jonah (OSHB)",Jonah
"Joshua (OSHB)",Joshua
"Judges (OSHB)",Judges
"Julian, Emperor of Rome","A Consolation to Himself Upon the Departure of the Excellent Sallust"
"Julian, Emperor of Rome",Epistolae
"Julian, Emperor of Rome","Hymn to King Helios Dedicated to Sallust"
"Julian, Emperor of Rome","Hymn to the Mother of the Gods"
"Julian, Emperor of Rome","Letter to Themistius the Philosopher"
"Julian, Emperor of Rome","Letter to the Senate and the People of Athens"
"Julian, Emperor of Rome",Misopogon
"Julian, Emperor of Rome","Panegyric in Honor of the Emperor Constantinus"
"Julian, Emperor of Rome","Panegyric on the Empress Eusebia"
"Julian, Emperor of Rome","The Caesars"
"Julian, Emperor of Rome","The Heroic Deeds of the Emperor Constantius, or on Kingship"
"Julian, Emperor of Rome","To the Cynic Heracleios"
"Julian, Emperor of Rome","To the Uneducated Cynics"
"Julian, Emperor of Rome",tlg017
"Julius Caesar","Civil War"
"Julius Caesar","Gallic War"
"Julius Pollux",Onomasticon
"Justin Martyr","Apologia I"
"Justin Martyr","Apologia secunda"
"Justin Martyr","Dialogue with Trypho"
Juvenal,"Saturae "
"Khwāja Shams-ud-Dīn Muhammad Hāfez-e Shīrāzī",Divan
"Lamentations (OSHB)",Lamentations
"Lesbonax (Rhetorician)","Protrepticus A"
"Lesbonax (Rhetorician)","Protrepticus B"
"Leviticus (OSHB)",Leviticus
Libanius,"Characteres Epistolici [Sp.]"
Libanius,"Declamatio 1"
Libanius,"Declamatio 10"
Libanius,"Declamatio 11"
Libanius,"Declamatio 12"
Libanius,"Declamatio 13"
Libanius,"Declamatio 14"
Libanius,"Declamatio 15"
Libanius,"Declamatio 16"
Libanius,"Declamatio 17"
Libanius,"Declamatio 18"
Libanius,"Declamatio 19"
Libanius,"Declamatio 2"
Libanius,"Declamatio 20"
Libanius,"Declamatio 21"
Libanius,"Declamatio 22"
Libanius,"Declamatio 23"
Libanius,"Declamatio 24"
Libanius,"Declamatio 25"
Libanius,"Declamatio 26"
Libanius,"Declamatio 27"
Libanius,"Declamatio 28"
Libanius,"Declamatio 29"
Libanius,"Declamatio 3"
Libanius,"Declamatio 30"
Libanius,"Declamatio 31"
Libanius,"Declamatio 32"
Libanius,"Declamatio 33"
Libanius,"Declamatio 34"
Libanius,"Declamatio 35"
Libanius,"Declamatio 36"
Libanius,"Declamatio 37"
Libanius,"Declamatio 38"
Libanius,"Declamatio 39"
Libanius,"Declamatio 4"
Libanius,"Declamatio 40"
Libanius,"Declamatio 41"
Libanius,"Declamatio 42"
Libanius,"Declamatio 43"
Libanius,"Declamatio 44"
Libanius,"Declamatio 45"
Libanius,"Declamatio 46"
Libanius,"Declamatio 47"
Libanius,"Declamatio 48"
Libanius,"Declamatio 49"
Libanius,"Declamatio 5"
Libanius,"Declamatio 50"
Libanius,"Declamatio 51"
Libanius,"Declamatio 6"
Libanius,"Declamatio 7"
Libanius,"Declamatio 8"
Libanius,"Declamatio 9"
Libanius,Epistles
Libanius,"Oratio 1"
Libanius,"Oratio 10"
Libanius,"Oratio 11"
Libanius,"Oratio 2"
Libanius,"Oratio 26"
Libanius,"Oratio 27"
Libanius,"Oratio 28"
Libanius,"Oratio 29"
Libanius,"Oratio 3"
Libanius,"Oratio 30"
Libanius,"Oratio 31"
Libanius,"Oratio 32"
Libanius,"Oratio 33"
Libanius,"Oratio 34"
Libanius,"Oratio 35"
Libanius,"Oratio 36"
Libanius,"Oratio 37"
Libanius,"Oratio 38"
Libanius,"Oratio 39"
Libanius,"Oratio 4"
Libanius,"Oratio 40"
Libanius,"Oratio 41"
Libanius,"Oratio 42"
Libanius,"Oratio 43"
Libanius,"Oratio 44"
Libanius,"Oratio 45"
Libanius,"Oratio 46"
Libanius,"Oratio 47"
Libanius,"Oratio 48"
Libanius,"Oratio 49"
Libanius,"Oratio 5"
Libanius,"Oratio 50"
Libanius,"Oratio 51"
Libanius,"Oratio 52"
Libanius,"Oratio 53"
Libanius,"Oratio 54"
Libanius,"Oratio 55"
Libanius,"Oratio 56"
Libanius,"Oratio 57"
Libanius,"Oratio 58"
Libanius,"Oratio 59"
Libanius,"Oratio 6"
Libanius,"Oratio 60"
Libanius,"Oratio 61"
Libanius,"Oratio 62"
Libanius,"Oratio 63"
Libanius,"Oratio 64"
Libanius,"Oratio 7"
Libanius,"Oratio 8"
Libanius,"Oratio 9"
"Liber Enoch","Apocalypsis Enochi"
Longinus,"On the Sublime"
Longus,"Daphnis and Chloe"
Lucan,"Civil War"
"Lucian of Samosata","A Feast of Lapithae"
"Lucian of Samosata","A Literary Prometheus"
"Lucian of Samosata","A Portrait-study"
"Lucian of Samosata","A Slip of the Tongue in Salutation"
"Lucian of Samosata","A True History"
"Lucian of Samosata","A Word with Hesiod"
"Lucian of Samosata","Alexander the Oracle-monger"
"Lucian of Samosata","Anacharsis, a Discussion of Physical Training"
"Lucian of Samosata","Apology For ‘the Dependent Scholar’"
"Lucian of Samosata",Astrology
"Lucian of Samosata",Charon
"Lucian of Samosata","Defence of the ‘portrait-study’"
"Lucian of Samosata","Dialogues of the Dead"
"Lucian of Samosata","Dialogues of the Gods"
"Lucian of Samosata","Dialogues of the Hetaerae"
"Lucian of Samosata","Dialogues of the Sea-gods:"
"Lucian of Samosata","Dionysus, an Introductory Lecture"
"Lucian of Samosata","Dipsas, the Thirst-snake"
"Lucian of Samosata",Harmonides
"Lucian of Samosata","Heracles, an Introductory Lecture"
"Lucian of Samosata","Hermotimus, or the Rival Philosophies"
"Lucian of Samosata","Herodotus and Aetion"
"Lucian of Samosata","Hippias, or the Bath"
"Lucian of Samosata","Icaromenippus, an Aerial Expedition"
"Lucian of Samosata",Lexiphanes
"Lucian of Samosata","Life of Demonax"
"Lucian of Samosata",Menippus
"Lucian of Samosata",Nigrinus
"Lucian of Samosata",Octogenerians
"Lucian of Samosata","Of Mourning"
"Lucian of Samosata","Of Pantomime"
"Lucian of Samosata","Of Sacrifice"
"Lucian of Samosata",Patriotism
"Lucian of Samosata","Phalaris, I"
"Lucian of Samosata",Podagra
"Lucian of Samosata","Prometheus on Caucasus"
"Lucian of Samosata","Remarks Addressed To an Illiterate Book-fancier"
"Lucian of Samosata",Saturnalia
"Lucian of Samosata","Slander, a Warning"
"Lucian of Samosata","Swans and Amber"
"Lucian of Samosata","The Cock"
"Lucian of Samosata","The Death of Peregrine"
"Lucian of Samosata","The Dependent Scholar"
"Lucian of Samosata","The Disinherited"
"Lucian of Samosata","The Double Indictment"
"Lucian of Samosata","The Dream"
"Lucian of Samosata","The Eunuch"
"Lucian of Samosata","The Ferry"
"Lucian of Samosata","The Fisher"
"Lucian of Samosata","The Fly, an Appreciation"
"Lucian of Samosata","The Goddesse of Surrye"
"Lucian of Samosata","The Gods in Council"
"Lucian of Samosata","The Hall"
"Lucian of Samosata","The Judgement of the Goddesses"
"Lucian of Samosata","The Liar"
"Lucian of Samosata","The Mistaken Critic, or a Discourse on the Word"
"Lucian of Samosata","The Parasite: a Demonstration that Sponging is a Profession"
"Lucian of Samosata","The Purist Purized"
"Lucian of Samosata","The Rhetorician’s Vade Mecum"
"Lucian of Samosata","The Runaways"
"Lucian of Samosata","The Sale of Lives"
"Lucian of Samosata","The Scythian"
"Lucian of Samosata","The Ship: Or, the Wishes"
"Lucian of Samosata","The Tyrannicide"
"Lucian of Samosata","The Way To Write History"
"Lucian of Samosata","Timon the Misanthrope"
"Lucian of Samosata","Toxaris; Or, Friendship"
"Lucian of Samosata","Trial in the Court of Vowels"
"Lucian of Samosata","Zeus Cross-examined"
"Lucian of Samosata","Zeus the Tragedian"
"Lucian of Samosata","Zeuxis and Antiochus"
Lucretius,"De Rerum Natura"
Lycophron,Alexandra
Lycurgus,"Against Leocrates"
Lysias,"Accusation of Calumny"
Lysias,"Against Agoratus"
Lysias,"Against Alcibiades 1"
Lysias,"Against Alcibiades 2"
Lysias,"Against Andocides"
Lysias,"Against Diogeiton"
Lysias,"Against Epicrates and his Fellow-envoys"
Lysias,"Against Eratosthenes"
Lysias,"Against Ergocles"
Lysias,"Against Nicomachus"
Lysias,"Against Pancleon"
Lysias,"Against Philocrates"
Lysias,"Against Philon"
Lysias,"Against Simon"
Lysias,"Against The Corn-Dealers"
Lysias,"Against The Subversion of the Ancestral Constitution"
Lysias,"Against Theomnestus 1"
Lysias,"Against Theomnestus 2"
Lysias,"Defense Against A Charge Of Taking Bribes"
Lysias,"Defense Against a Charge of Subverting the Democracy"
Lysias,"For Callias"
Lysias,"For Polystratus"
Lysias,"For The Soldier"
Lysias,"Funeral Oration"
Lysias,"In Defense of Mantitheus"
Lysias,"Olympic Oration"
Lysias,"On A Wound By Premeditation"
Lysias,"On The Property Of Eraton"
Lysias,"On The Refusal Of A Pension"
Lysias,"On the Confiscation of the Property Of The Brother Of Nicias"
Lysias,"On the Murder of Eratosthenes"
Lysias,"On the Olive Stump"
Lysias,"On the Property of Aristophanes"
Lysias,"On the Scrutiny of Evandros"
